starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 09:09:23 2018	1524064163	0	141	141	125
Wed Apr 18 09:09:23 2018	1524064163	0	234	234	219
Wed Apr 18 09:09:23 2018	1524064163	0	361	361	345
Wed Apr 18 09:09:23 2018	1524064163	0	468	468	466
Wed Apr 18 09:09:23 2018	1524064163	0	562	562	562
Wed Apr 18 09:09:23 2018	1524064163	0	656	656	656
Wed Apr 18 09:09:23 2018	1524064163	0	749	749	734
Wed Apr 18 09:09:23 2018	1524064163	0	843	843	828
Wed Apr 18 09:09:23 2018	1524064163	0	937	937	921
Wed Apr 18 09:09:23 2018	1524064163	0	1046	1046	1046
Wed Apr 18 09:09:23 2018	1524064163	0	1171	1171	1156
Wed Apr 18 09:09:23 2018	1524064163	0	1265	1265	1249
Wed Apr 18 09:09:23 2018	1524064163	0	1358	1358	1342
Wed Apr 18 09:09:23 2018	1524064163	0	1458	1458	1452
Wed Apr 18 09:09:23 2018	1524064163	0	1547	1547	1547
Wed Apr 18 09:09:23 2018	1524064163	0	1641	1641	1641
Wed Apr 18 09:09:23 2018	1524064163	0	1735	1735	1735
Wed Apr 18 09:09:23 2018	1524064163	0	1828	1828	1828
Wed Apr 18 09:09:23 2018	1524064163	0	1938	1938	1922
Wed Apr 18 09:09:23 2018	1524064163	0	2031	2031	2031
Wed Apr 18 09:09:23 2018	1524064163	0	2157	2157	2157
Wed Apr 18 09:09:23 2018	1524064163	0	2250	2250	2250
Wed Apr 18 09:09:23 2018	1524064163	0	2345	2345	2345
Wed Apr 18 09:09:23 2018	1524064163	0	2447	2447	2442
Wed Apr 18 09:09:23 2018	1524064163	0	2530	2530	2530
Wed Apr 18 09:09:23 2018	1524064163	0	2624	2624	2624
Wed Apr 18 09:09:23 2018	1524064163	16	2693	2709	2693
Wed Apr 18 09:09:23 2018	1524064163	0	2787	2787	2787
Wed Apr 18 09:09:23 2018	1524064163	0	2881	2881	2881
Wed Apr 18 09:09:23 2018	1524064163	0	2975	2975	2975
Wed Apr 18 09:09:23 2018	1524064163	0	3068	3068	3053
